Seconds lapsed,tank level,tank inflow
8210,1415,18.769420623779297
8220,1418,20.35305404663086
8230,1438,22.074871063232422
8240,1485,24.72467803955078
8250,1479,19.446636199951172
8260,1551,27.249664306640625
8270,1574,22.31596565246582
8280,1557,18.338756561279297
8290,1580,22.35354995727539
8300,1563,18.318649291992188
8310,1531,16.89838218688965
8320,1547,21.62864112854004
8330,1603,25.6313533782959
8340,1615,21.232120513916016
8350,1623,20.847116470336914
8360,1653,23.0650691986084
8370,1657,20.498252868652344
8380,1657,20.035120010375977
8390,1656,19.98274803161621
8400,1642,18.69852638244629
8410,1594,15.283470153808594
8420,1580,18.672969818115234
8430,1496,11.631271362304688
8440,1492,19.67831802368164
8450,1512,22.027135848999023
8460,1452,14.033618927001953
8470,1433,18.131244659423828
8480,1397,16.460905075073242
8490,1402,20.572162628173828
8500,1408,20.696012496948242
8510,1402,19.476667404174805
8520,1430,22.878673553466797
8530,1452,22.2657527923584
8540,1470,21.84545135498047
8550,1481,21.127336502075195
8560,1469,18.84800910949707
8570,1470,20.11855125427246
8580,1450,18.06294822692871
8590,1438,18.859880447387695
8600,1437,19.98540496826172
8610,1378,14.149126052856445
8620,1400,22.253965377807617
8630,1396,19.624895095825195
8640,1347,15.182364463806152
8650,1367,22.054710388183594
8660,1329,16.29772186279297
8670,1329,20.01442527770996
8680,1290,16.143617630004883
8690,1280,19.035497665405273
8700,1253,17.31610679626465
8710,1271,21.89264678955078
8720,1286,21.51051902770996
8730,1299,21.344982147216797
8740,1316,21.711742401123047
8750,1369,25.341856002807617
8760,1369,20.049999237060547
8770,1368,19.972721099853516
8780,1352,18.463226318359375
8790,1317,16.592802047729492
8800,1302,18.545549392700195
8810,1315,21.34886932373047
8820,1314,19.90482521057129
8830,1300,18.69609832763672
8840,1332,23.298290252685547
8850,1283,15.170487403869629
8860,1298,21.53605079650879
8870,1200,10.232604026794434
8880,1164,16.447874069213867
8890,1106,14.214160919189453
8900,1062,15.629068374633789
8910,1078,21.618078231811523
8920,1077,19.914379119873047
8930,1101,22.493064880371094
8940,1109,20.845190048217773
8950,1104,19.560379028320313
8960,1080,17.603836059570313
8970,1081,20.136199951171875
8980,1100,21.9249324798584
8990,1113,21.36319923400879
9000,1144,23.12021255493164
9010,1140,19.648578643798828
9020,1181,24.176708221435547
9030,1178,19.778196334838867
9040,1164,18.652873992919922
9050,1228,26.471323013305664
9060,1221,19.305381774902344
9070,1193,17.223278045654297
9080,1208,21.527790069580078
9090,1252,24.46527862548828
9100,1241,18.928937911987305
9110,1198,15.789474487304688
9120,1206,20.8956241607666
9130,1211,20.53420639038086
9140,1173,16.236125946044922
9150,1192,21.962141036987305
9160,1212,22.065013885498047
9170,1197,18.50771713256836
9180,1185,18.838594436645508
9190,1178,19.307443618774414
9200,1174,19.683015823364258
9210,1162,18.8660831451416
9220,1193,23.113372802734375
9230,1206,21.333248138427734
9240,1204,19.841651916503906
9250,1204,20.039268493652344
9260,1195,19.163681030273438
9270,1208,21.369422912597656
9280,1162,15.498505592346191
9290,1165,20.37824249267578
9300,1196,23.1998291015625
9310,1163,16.74669075012207
9320,1126,16.385961532592773
9330,1148,22.242382049560547
9340,1178,23.03811264038086
9350,1161,18.312843322753906
9360,1203,24.27205467224121
9370,1214,21.140953063964844
9380,1221,20.78714370727539
9390,1239,21.80398178100586
9400,1200,16.106719970703125
9410,1125,12.55926513671875
9420,1146,22.199718475341797
9430,1153,20.798826217651367
9440,1149,19.634796142578125
9450,1156,20.77558708190918
9460,1167,21.17392921447754
9470,1202,23.568803787231445
9480,1146,14.418462753295898
9490,1196,25.054588317871094
9500,1218,22.240808486938477
9510,1268,25.042011260986328
9520,1273,20.5373477935791
9530,1343,27.045475006103516
9540,1334,19.11094093322754
9550,1305,17.12565040588379
9560,1315,21.079952239990234
9570,1306,19.14982795715332
9580,1279,17.315196990966797
9590,1241,16.26491928100586
9600,1202,16.18642234802246
